ああ	嗚呼
ずぶう	頭部
せい	制
せい	精
せいいたいしょうぐん	征夷大将軍
せいうん	栖雲
せいうんそう	星雲荘
せいえいだいおう	聖嬰大王
せいおん	正音
せいかん	征韓
せいかん	精悍
せいかん	精管
せいかんじん	星間塵
せいかんたい	性感帯
せいかんぶっしつ	星間物質
せいかんろんじゃ	征韓論者
せいがこうしよう	正雅高尚
せいがん	青岩
せいきしき	正規式
せいきすう	正規数
せいきち	正吉
せいぎのひーろー	声技の英雄
せいけいえん	清谿園
せいげんしゅるいさいけん	制限種類債権
せいこ	星子
せいこ	省子
せいここ	聖姑姑
せいごけしゅう	西牛賀洲
せいさいかん	精細管
せいさいき	精細鬼
せいさいげん	星彩弦
せいさいせんそう	正妻戦争
せいさく	精索
せいさつよだつのけんり	生殺与奪の権利
せいさんぎじゅつ	生産技術
せいし	正視
せいし	誠之
せいしえいせい	静止衛星
せいしつ	正室
せいしゃ	斉射
せいしょくきげんしゅ	生殖器原種
せいしょくはっぽうかいじゅう	青色発泡怪獣
せいしよく	生殖
せいしんだいりんけん	星心大輪拳
せいじ	政二
せいじ	盛事
せいじ	誠司
せいじがえる	青磁蛙
せいじし	星獅子
せいじしもかぶらはないけ	青磁下蕪花生
せいじゅうけん	星獣剣
せいじゅつしんしょ	正述心緒
せいじょう	聖上
せいじん	星人
せいせい	生々
せいせいかいじゅう	棲星怪獣
せいせいばく	聖聖縛
せいそう	精巣
せいそうほう	清掃法
せいそくしき	正則式
せいそくひょうげん	正則表現
せいぞう	製造
せいたい	青黛
せいたいがったいそうち	生体合体装置
せいちゅう	掣肘
せいちん	清珍
せいてきろーるぷれい	性的ロールプレイ
せいてんたいせい	斉天大聖
せいてんま	星天馬
せいと	西都
せいとくしゅぎ	生得主義
せいとくほいくえん	成徳保育園
せいとくろん	生得論
せいどう	星洞
せいどう	聖堂
せいどうのへび	青銅の蛇
せいどく	精読
せいなう	細男
せいなんにっぽん	西南日本
せいにく	精肉
せいにほんまつ	正二品松
せいにんじゅうつばさまる	聖忍獣ツバサマル
せいねんじつぎょうか	青年実業家
せいひ	聖匙
せいひつ	聖櫃
せいひつ	静謐
せいび	聖日
せいふ	政府
せいぶ	斉部
せいぶ	青部
せいぶつ	生物
せいぶつかがくてきさんそようきゅうりょう	生物化学的酸素要求量
せいほうおう	星鳳凰
せいほうかい	青袍怪
せいほうきょうかい	西方教会
せいほうけいすう	正方形数
せいみきょく	舎密局
せいめい	星明
せいめい	生命
せいめいのき	生命の樹
せいもん	請問
せいや	晴也
せいゆ	製油
せいゆう	西幽
せいようしんじぶつ	西洋新事物
せいようじじょう	西洋事情
せいようぶんめい	西洋文明
せいようりゆう	西洋流
せいらい	生来
せいりゅう	精留
せいれき	西暦
せいれつざん	星烈斬
せいをふんでおそるるなかれ	蹈正勿懼
せいゔぁーこーど	救世候補生
せうさつし	小册子
せうせいやぶらずやはんのゆめ	鐘聲不破夜半夢
せうどくわい	小土塊
せかい	世界
せかい	即売会
せかいいさん	世界遺産
せかいくにづくし	世界国尽
せかいじく	世界軸
せかいちつじょ	世界秩序
せかいぢう	世界中
せき	関
せきか	石果
せきがいじじゅうどーど	石貝侍従ドード
せきがく	碩学
せきぐち	関口
せきぐつざん	石儡山
せきしょう	石尟
せきしょくかえんかいじゅう	赤色火焔怪獣
せきしんげつしゃ	赤新月社
せきしんしょうりんけんがっしょう	赤心少林拳合掌
せきしんしょうりんけんもろてうち	赤心少林拳諸手打
せきじゅ	赤鱬
せきじゅうじかい	赤十字会
せきじゅうじしゃ	赤十字社
せきたい	石帯
せきついげんしゅ	脊椎原種
せきね	関根
せきぶ	石部
せきぶ	赤部
せきほうかい	赤袍怪
せきりゅう	赤竜
せきりゅうそうりゅうけん	赤龍双竜剣
せきりょく	石緑
せきるい	石塁
せくしょん	地区
せけん	世間
せけんぼう	世間法
せこいあ	賢樹
せしゅう	世襲
せじん	世人
せたい	世態
せたがやく	世田谷区
せたこうさてん	瀬田交差点
せたまいもとまち	世田米本町
せっけい	切形
せっけいかささぎずかびん	雪景鵲図花瓶
せっしょう	折衝
せっしんしんこう	雪岑津興
せっつてつどう	摂津鉄道
せっとうざい	窃盗罪
せっぷ	説郛
せつ	接
せつ	説
せつか	節果
せつこ	節子
せつごうじ	接合辞
せつざん	雪山
せつしよう	殺生
せつめいへんすう	説明変数
せつるさい	截流斎
せな	背
せのけしき	背の景
せびろ	背広
せま	狭
せみ	蝉
せめ	責
せめんとどおり	セメント通り
せりふ	台詞
せるまーぐん	セルマー群
せれっそおおさか	セレッソ大阪
せん	僭
せんおうのしるべ	先王の導
せんか	扇花
せんかげき	扇火撃
せんかん	船艦
せんぎん	鮮銀
せんげつ	繊月
せんこ	仙狐
せんこうきしろーど	閃光騎士狼怒
せんこうせいじゅうけん	閃光星獣剣
せんこく	川穀
せんこつ	川骨
せんご	戦後
せんごくじだい	戦極時代
せんごくどらいばー	戦極ドライバー
せんし	睒子
せんしだん	扇四弾
せんしゅうきたまねぎ	泉州黄玉葱
せんしゅけんじゃ	選手権者
せんしょう	僭称
せんしょう	先勝
せんしょくたい	染色体
せんしん	泉心
せんじょ	蟾蜍
せんじょう	煽情
せんすい	仙水
せんすいしん	潜水身
せんせい	先生
せんせんざん	千千斬
せんせんだんざん	扇扇断斬
せんぜい	占筮
せんぞく	千僧供
せんたく	選択
せんたくさいけん	選択債権
せんだい	仙大
せんだいがわ	千代川
せんだんくどくぶつ	旃檀功徳仏
せんちゃく	選択
せんちんじょう	仙鎮城
せんと	聖
せんと	遷都
せんとうきょしん	戦闘巨神
せんとごっどくろすふぁいたー	聖神竜合士
せんとどらごんちぇんじゃー	聖竜機化神
せんとほーりー	聖聖
せんとめたるちぇんじゃー	聖機竜化士
せんどう	煽動
せんにん	仙人
せんにんじゅう	扇忍獣
せんねつ	潜熱
せんねんざくら	千年桜
せんのたにこくえんこうざん	千野谷黒鉛鉱山
せんのまもりて	千の護手
せんばちゅうおう	船場中央
せんばやし	千林
せんぱつぐれごりおれき	先発グレゴリオ暦
せんひだん	扇披弾
せんひめ	千姫
せんぶ	先負
せんぶ	舛部
せんぶしゅう	贍部洲
せんぷういっせん	旋風一閃
せんぷうきのじゅつ	扇風機の術
せんぷうじん	旋風神
せんぷしん	潜布身
せんぼうのいずみ	閃望の泉
せんまいおろし	千枚おろし
せんめつ	殲滅
せんめつがいそう	殲滅外装
せんめつてんし	殲滅天使
せんゆう	専有
せんりゃう	仙蓼
せんりゅう	翦劉
せんりょうけん	遷陵県
せんる	遷流
せんれい	洗礼
せんれつのぎんろう	閃烈の銀狼
せんゐ	繊維
ぜいきん	税金
ぜいじゃく	脆弱
ぜいせい	税制
ぜいはぶせんちょう	ゼイハブ船長
ぜいびきごえいぎょうりえき	税引き後営業利益
ぜいむ	税務
ぜすとまーぐ	救世機
ぜず	銭司
ぜぜうら	膳所裏
ぜっかりょうらん	舌禍繚乱
ぜっくうほうよく	絶空鳳翼
ぜっしん	絶心
ぜつえいきしぞろ	絶影騎士ゾロ
ぜつぶ	舌部
ぜつむ	絶無
ぜに	銭
ぜむりあ	世界
ぜろ	零
ぜろくどう	零駆動
ぜろしき	零式
ぜん	全
ぜんきょひじんたい	前距腓靱帯
ぜんぐうすう	全偶数
ぜんこう	前項
ぜんこくみん	全国民
ぜんこんしゅうけつ	全魂集結
ぜんごそくいんがのごびゅう	前後即因果の誤謬
ぜんさむらいがったいでぃすく	全侍合体ディスク
ぜんしゃ	前車
ぜんしん	善真
ぜんしんねりまくり	全身練馬繰
ぜんじょう	禅城
ぜんせんけい	漸先形
ぜんそうよう	禅僧様
ぜんたい	全体
ぜんちしょうにん	善智上人
ぜんちゆう	全晝
ぜんとくじのかいめい	善徳寺の会盟
ぜんどううんどう	蠕動運動
ぜんぶ	全部
ぜんまい	薇
ぜんりんでんじゅ	全臨伝授
そいであめりか	南亜墨利加
そいのほうり	副祝
そいふぉん	砕蜂
そう	惣
そう	艘
そうい	創痍
そういえん	爪囲炎
そううん	宗吽
そうえもん	惣右衛門
そうえん	蒼鉛
そうか	痩果
そうかうにふだう	背高入道
そうかん	操艦
そうきゅう	蒼穹
そうきょ	漕渠
そうきょく	箏曲
そうぎょう	創業
そうぎょく	曹嶷
そうぎょく	蒼玉
そうぎんじょう	蒼銀杖
そうけんか	双懸果
そうけんがっしん	双剣合身
そうけんじょ	燥繭所
そうげん	草原
そうげんすいりぶんこ	創元推理文庫
そうごうふくしがくぶ	総合福祉学部
そうごく	葬獄
そうさ	捜査
そうさく	捜索
そうし	繰糸
そうしげもと	宗成職
そうしさんりえきりつ	総資産利益率
そうしゅうせいりゅうれんめいかい	相州聖龍連盟會
そうしょくがさ	装飾笠
そうじだいじんきれいずきー	掃治大臣キレイズキー
そうじゅ	奏授
そうじゅう	操縦
そうじゅうとう	操獣刀
そうじょうじゅ	鬆縄呪
そうせい	叢生
そうせいしん	創世神
そうせき	漱石
そうせん	操船
そうせんすいはちれんざん	掃扇捶八連斬
そうせんぷ	双戦斧
そうぜつとっしん	槍舌突針
そうそう	匆々
そうそう	草創
そうぞう	想像
そうぞうしゅ	創造主
そうぞうしん	創造神
そうぞうのしとみけら	創造の使徒ミケラ
そうたいせいりろん	相対性理論
そうたいてき	相対的
そうたつほうし	双竜法師
そうたん	草炭
そうだししぇりんだ	操舵士シェリンダ
そうついぶし	惣追捕使
そうてい	漕艇
そうてん	装填
そうてんきしざんこ	蒼天騎士斬虎
そうでぃすく	双ディスク
そうとう	争闘
そうとういんがかんけいせつ	相当因果関係説
そうねんぶ	壮年部
そうはつあたま	総髪頭
そうびしゃちょうせき	曹微斜長石
そうぶ	総武
そうぶ	艸部
そうぶ	走部
そうへい	爽平
そうほう	双方
そうほうこうてきすと	双方向テキスト
そうほんだな	総本店
そうま	相馬
そうみょう	草名
そうめい	滄溟
そうめいえいち	聡明叡智
そうもう	叢毛
そうもく	相撲
そうもんか	相聞歌
そうやく	装薬
そうやしんこう	宗谷侵攻
そうやじへん	宗谷事変
そうら	候
そうらん	総攬
そうりだいじんよごしまくりたいん	総裏大臣ヨゴシマクリタイン
そうりゅうがろ	蒼竜牙狼
そうりゅうけん	双竜剣
そうりゅうばし	双龍橋
そうりん	叢林
そうるこうつうこうしゃ	ソウル交通公社
そうれつゆうしんがろ	双烈融身ガロ
そうろ	候
そえうらこうさつ	添浦高札
そかい	泝洄
そがべ	曽我部
そくかきこ	即書呼
そくすい	涑水
そくせき	即席
そくそう	束装
そくたん	続旦
そくどく	速読
そくどろんてきどういたいこうか	速度論的同位体効果
そくばくへんすう	束縛変数
そくぶ	足部
そこ	底
そこくかいほう	祖国解放
そこな	傷
そこばく	若干
そこほん	底本
そごう	十合
そし	毀
そし	謗
そしか	粗視化
そしき	組織
そぜい	租税
そそ	雪
そそぎ	灌
そぞうか	塑像化
そたいほらー	素体火羅
そだい	粗大
そだいし	粗大視
そちょんじゅせん	西清州線
そっせんすいはん	率先垂範
そつじゅ	卆寿
そで	袖
そとうば	蘇東坡
そとがわ	外側
そとだやすすけ	外田保丞
そとなさかうら	外浪逆浦
そな	具
そなー	夢捜歌
そなー	歌
そね	猜
その	其
そのあした	其朝
そのじつ	其実
そのた	其他
そのだまさき	園田将生
そのゆえ	其故
そのらまぶんこ	ソノラマ文庫
そはんのう	素反応
そばかり	曾婆可理
そび	聳
そびそう	鼠尾草
そぶ	鼠部
そま	杣
そまたにがわ	杣谷川
そむ	叛
そむ	畔
そむ	背
そめがみ	染紙
そめや	染谷
そもそも	抑
そら	夜空
そら	天空
そら	宇宙
そら	宙
そらい	徂徠
そらがけ	空駆け
そらさきし	空崎市
そりゅうし	素粒子
それ	其
それ	爾
そろばん	算盤
そろもん	王統
そんぎょうじゃ	孫行者
そんごくう	孫悟空
そんざい	存在
そんし	尊士
そんせつ	撙節
そーさらー	妖術師
ぞうおだん	憎悪弾
ぞうか	造化
ぞうか	雑歌
ぞうかのかみ	造化の神
ぞうきんしぼり	雑巾しぼり
ぞうしょ	蔵書
ぞうぜい	増税
ぞうは	造波
ぞうぶつしゅ	造物主
ぞうへいきょく	造幣局
ぞく	俗
ぞく	屬
ぞくかん	俗間
ぞくへいやーとっと	賊兵ヤートット
ぞくべっとう	俗別当
ぞっこく	属国
ぞるーくとうじょう	ゾルーク東条
ぞろめ	ゾロ目
ぞーりま	ゾーリ魔
たい	対
たいあたり	體當り
たいいくよういん	体育要員
たいいつ	太一
たいかい	大海
たいがい	大概
たいがしら	鯛頭
たいがーあいず	猛虎の目
たいがーぞうきんがけ	タイガー雑巾がけ
たいがーどら	虎的盾鑼
たいきけん	大気圏
たいきばんせい	大木晩成
たいぎめいぶん	大義名分
たいぎゃくしんもん	大逆神門
たいげ	退下
たいこうてんのう	大行天皇
たいこもち	太鼓持ち
たいさいぼう	体細胞
たいざ	胎座
たいざ	間人
たいしげんすい	太子元帥
たいしゃく	大赤
たいしや	太子爺
たいしょう	大正
たいしょうじだい	大正時代
たいじ	対峙
たいじょうけい	大常卿
たいじょうじ	大常寺
たいじょうはく	大常伯
たいじょうろうくん	太上老君
たいすう	大数
たいせい	大政
たいせつ	大切
たいそう	大葬
たいそうはく	大宗伯
たいぞうえき	退蔵益
たいちゃん	大ちゃん
たいちょうへびづか	隊長蛇塚
たいていへいか	大帝陛下
たいはく	太白
たいはくどおり	大博通り
たいはくまち	大博町
たいびょう	大病
たいぶ	隶部
たいへいき	太平記
たいへいづか	大瓶束
たいへいふどき	太平風土記
たいへいよう	太平洋
たいほう	大宝
たいほう	大鵬
たいぼくれい	大卜令
たいまじょう	当麻城
たいまつ	松明
たいむす	時間
たいむりみっと	限界時間
たいも	大喪
たいやう	太陽
たいゆぁん	太原
たいようえねるぎー	太陽エネルギー
たいようのかみ	太陽神
たいようのつるぎ	太陽の剣
たいらい	泰東
たいらく	頽落
たいらじま	平島
たいりく	大陸
たうじ	當時
たうぶん	當分
たえ	妙
たえ	絶
たお	仆
たお	斃
たか	多珂
たか	高
たかあなほのみや	高穴穂宮
たかあまの	高天
たかあまのはら	多訶阿麻能播羅
たかいどふしなりきゅうり	高井戸節成胡瓜
たかいひと	堯人
たかいわさん	高岩さん
たかえ	高枝
たかお	高尾
たかおてつどう	高雄鉄道
たかおのおおかみ	高龗大神
たかぎ	高木
たかくすうていり	多角数定理
たかくら	高倉
たかさご	高砂
たかし	兀
たかし	隆
たかじょう	鷹匠
たかすずやま	高清水山
たかだ	高田
たかだま	高擶
たかちほ	高千穂
たかつかさじんじゃ	高司神社
たかつね	高雅
たかなし	小鳥遊
たかなみ	高波
たかね	高値
たかの	多珂
たかの	高
たかはし	高橋
たかはら	高原
たかはるちょう	高原町
たかば	鷹場
たかひろ	崇広
たかほこ	鷹架
たかまがはら	高天ヶ原
たかまがはら	高天原
たかまつえき	高松驛
たかまつし	高松市
たかみ	高見
たかみえみりー	高見エミリー
たかみざわ	高見沢
たかみみじんじゃ	高耳神社
たかみむすび	高御産巣日神
たかみや	高宮
たかみや	鷹宮
たかむら	鷹群
たかもりのかみ	高杜神
たかやまきょうじゅ	高山教授
たかやまごぼう	高山牛蒡
たかやままな	高山真菜
たから	資産
たかわし	高鸇
たが	多賀
たが	愆
たがい	互
たがや	耕
たがわ	它川
たがわ	田川
たき	瀧
たきもの	薫物
たぎしみみのみこと	当芸志美美命
たく	拓
たくとうりてんのう	托塔李天王
たくぬの	栲布
たくはいびん	宅配便
たくはつがさ	托鉢笠
たくみまち	工町
たくら	企
たぐち	田口
たぐちおとは	田口音羽
たけ	岳
たけ	猛
たけいえ	武家
たけおひろくにおしたてのみこと	建小広国押楯命
たけおみ	武臣
たけがさ	竹笠
たけこ	竹子
たけし	武士
たけし	猛士
たけした	竹下
たけじょう	竹生
たけだ	武田
たけだ	竹田
たけちのくろひと	高市黒人
たけなか	竹中
たけのかんのん	丘の観音
たけはにやすのみこ	建波邇安王
たけみかづちのかみ	建御雷神
たけみつ	竹光
たけみなかたのかみ	建御名方神
たけみや	健軍
たけみや	竹宮
たけもと	武本
たける	梟帥
たけわかまち	竹若町
たこうかん	多幸感
たこつぼ	蛸壺
たこむら	手腓
たしか	慥
たしなみ	嗜
たしま	田島
たしょう	多少
たしろ	田代
たしろたい	田代平
たしろやま	田代山
たじひ	多治比
たじま	田島
たじん	他人
たすう	多数
たすく	助
たすく	棐
たすく	翼
たず	尋
たずぬ	尋
たずね	尋
たせう	多少
たそがれ	黄昏
たぞの	田園
たた	叩
たた	敲
たた	畳
たたか	戦
たたかい	試合
たたかいだましい	闘魂
たたき	三和土
たたなみ	多他那美
たたみがみ	畳紙
たたみげさ	畳袈裟
たたら	多々良
たたら	多田羅
たたら	鞴
たたらがわ	多々良川
たたらしんかわ	多々良新川
ただ	但
ただ	只
ただ	唯
ただ	啻
ただ	糺
ただ	縄
ただかつ	忠功
ただち	直
ただち	直地
たち	質
たちかわ	立川
たちばな	橘
たちばな	立花
たちばなのとよひのみこ	橘豊日王
たちばなのとよひのみこと	橘豊日命
たちばなもん	橘紋
たちふじ	立藤
たちま	忽
たちやく	立役
たぢひべ	蝮部
たっきゅうびん	宅急便
たっきょ	謫居
たっぐ	相棒
たっこぶぬま	達古武沼
たつ	建
たつ	達
たつのやま	竜の山
たつまき	竜巻
たつまきにんれつざん	竜巻忍烈斬
たつみぼうさいけんきゅうじょ	巽防災研究所
たづ	鶴
たて	楯
たて	竪
たていと	経糸
たてえぼし	立烏帽子
たてがみ	鬣
たてしなのかみ	蓼科神
たてちょうすじ	竪町筋
たてでぃすく	盾ディスク
たてなおし	舘直志
たてなわて	田手畷
たてぬい	盾作
たてのおおまゆみ	舘の大マユミ
たてばぢゃや	立場茶屋
たてふじ	立藤
たてまつ	奉
たてまつ	貢奉
たてやま	館山
たと	仮令
たと	例
たと	假令
たとい	仮令
たとい	縦令
たとう	帖紙
たとうがみ	帖紙
たど	辿
たどうせいしょうがい	多動性障害
たどころ	田所
たどころはかせ	田所博士
たなか	田中
たなべはかせ	田辺博士
たに	谷
たにがき	谷垣
たにぐち	谷口
たにのきじゅう	谷の鬼十
たにやま	谷山
たにん	他人
たぬま	田沼
たね	実蓏
たね	種
たねがしまらいふる	種子島雷威銃
たねもみ	種籾
たねるい	種類
たの	恃
たの	負
たのし	娯
たのつ	多の津
たのもしき	頼母敷
たはむれ	戲
たばこ	煙草
たばこいれ	莨入
たび	旅
たびだち	出発
たふ	太布
たほうかい	多宝会
たま	多摩
たま	御
たま	玉
たま	魂
たまいりれいきゃくき	玉入り冷却器
たまくら	手枕
たまごはかせ	タマゴ博士
たましい	霊
たまちゅう	玉中
たまつくりくろもんしろうり	玉造黒門越瓜
たまで	玉手
たまのい	玉乃井
たまのい	玉井
たまはがね	珠鋼
たまほのみや	玉穂宮
たまみ	珠美
たまも	玉藻
たまもの	賜物
たまゆらひめ	玉響姫
たまよりひめのみこと	玉依姫命
たみ	人民
たみえ	たみ江
たむけやまはちまんぐう	手向山八幡宮
たむら	田村
ためいけ	溜池
たもと	袂
たものうら	玉藻浦
たや	田谷
たゆう	太夫
たゆうしゅう	太夫衆
たゆた	揺蕩
たら	誑
たらいくぼ	手洗窪
たらしなかつひこのすめらみこと	帯中日子天皇
たるがくしゃぶくらてす	樽学者ブクラテス
たれ	誰
たれすのていり	タレスの定理
たろう	太郎
たろうそうしろう	太朗想史郎
たろっとそーされす	魔符詠姫
たわんぞく	多腕族
たん	單
たんい	単位
たんうんぐん	唐恩郡
たんか	啖呵
たんかすいそ	炭化水素
たんぐうすう	単偶数
たんげ	丹下
たんご	端午
たんごきづ	丹後木津
たんしおしょう	蛋子和尚
たんしょくが	単色画
たんしん	丹心
たんじょうせき	誕生石
たんすいぎょ	淡水魚
たんそう	噉相
たんそかごうぶつ	炭素化合物
たんそんぐん	唐城郡
たんてい	端艇
たんでき	耽溺
たんどくほう	単独峰
たんばたかはら	丹波高原
たんぱたい	短波帯
たんぽ	湯婆
たんめん	湯麺
だい	大
だい	臺
だい	題
だいあろっく	氷壁
だいいちげんりけいろせきぶんぶんしどうりきがくほう	第一原理経路積分分子動力学法
だいういきょう	大茴香
だいうぼ	大禹謨
だいえ	大衣
だいえい	大永
だいえいかくだん	大鋭角断
だいえんかい	大猿回
だいえんきょうち	大円鏡智
だいおうけん	大王剣
だいかいしょう	大海嘯
だいかいてんししばくれつだん	大回転獅子爆裂弾
だいかいてんとどろきぎり	大回転轟斬り
だいかいほう	大魁咆
だいかんみんこくうぉん	大韓民国ウォン
だいかんみんこくぐんいあんふ	大韓民国軍慰安婦
だいかんみんこくのきょういく	大韓民国の教育
だいかんれき	大還暦
だいがさ	台笠
だいがんがんがん	大頑頑丸
だいがんがんきゃく	大頑頑脚
だいがんがんけん	大頑頑拳
だいがんがんざん	大頑頑斬
だいき	大喜
だいきょう	大饗
だいきょうだいきゃく	大兄弟脚
だいくうがったい	大空合体
だいくうまおう	大空魔王
だいくうまてい	大空魔艇
だいけんじんずばーん	大剣人ズバーン
だいこうけん	大甲剣
だいこうじんかぶてりおす	大甲神カブテリオス
だいこうみょうへんじょう	大光明遍照
だいこく	大黒
だいこくどおり	大黒通り
だいこくながれ	大黒流
だいごうごうじゅう	大合合獣
だいごうりゅう	大号竜
だいごやはたまる	第五八幡丸
だいごようじってうち	ダイゴヨウ十手打ち
だいさく	大作
だいさたん	大サタン
だいざぶろう	大三郎
だいし	第四
だいしきょう	大司教
だいしきょうかい	大師教会
だいしこう	大司寇
だいしゃ	台車
だいしゅりょう	大首領
だいしょうめつ	大消滅
だいしん	代神
だいしんきろう	大蜃気楼
だいしんけんさむらいぎり	ダイシンケン侍斬り
だいしんけんてんくうからたけわり	ダイシンケン天空唐竹割り
だいしんけんはおうぎり	ダイシンケン覇王斬り
だいじ	大切
だいじ	大治
だいじかん	大時間
だいじゅうじん	大獣神
だいじゅうどんか	大重鈍化
だいじゅうのう	台十能
だいじゅうりょく	大重力
だいじょうあびだつまきょう	大乗阿毘達磨経
だいじょうじまえまち	大乗寺前町
だいすうてききほんぐん	代数的基本群
だいずかす	大豆粕
だいせんだん	大旋断
だいせんぷう	大旋風
だいだいさいだいぎり	大大砕大斬り
だいだいまる	大橙丸
だいだんだん	大断断
だいち	代知
だいち	大地
だいちぎり	大地斬り
だいちこうたい	大地溝帯
だいちのかみ	大地神
だいてんくうじ	大天空寺
だいてんくうだいげきとつ	ダイテンクウ大激突
だいとも	大友
だいどう	大同
だいどうせん	大洞線
だいどうてんぐう	大鬧天宮
だいどがわ	大戸川
だいにじかいじゅうぶーむ	第二次怪獣ブーム
だいにほんせいとう	大日本製糖
だいひょうかいざん	大氷塊山
だいふうしゃぎり	大風車斬り
だいぶつ	大仏
だいぶつでん	大仏殿
だいぶんぶんきゃく	大分分脚
だいぶんぶんせん	大分分扇
だいほうでん	大放電
だいまおうぐれんごーすと	大魔王グレンゴースト
だいまじょぐらんでぃーぬ	大魔女グランディーヌ
だいみょう	大名
だいもつ	大物
だいもん	大門
だいやくん	代役ン
だいやつぶて	ダイヤ礫
だいり	内裏
だいり	大利
だいりはかせ	大利博士
だいりゅうかい	大龍海
だいりんけん	大輪剣
だいりんけんせんぷうぎり	大輪剣旋風斬り
だいれんおう	大連王
だいれんろっどくじゃくぎり	ダイレンロッド孔雀斬り
だいろうろうきゃく	大狼狼脚
だおしゃおびん	刀削氷
だくさつにそん	諾冊二尊
だくてん	濁點
だご	団子
だざいはかせ	太宰博士
だし	出汁
だし	山車
だしやぐら	ダシ矢倉
だじゃれ	駄洒落
だだだん	打打弾
だだーでぃーん	木曜日
だだーでいん	水曜日
だて	伊達
だば	駄馬
だひな	金曜日
だび	荼毘
だぶるいくす	機巧美神
だぶるせいばー	双刃剣
だむだむ	打無堕夢
だもると	火曜日
だらに	陀羅尼
だらにほん	陀羅尼品
だりん	舵輪
だるーあん	月曜日
だん	壇
だんくがえし	ダンク返し
だんしぶ	男子部
だんじ	弾次
だんた	壇田
だんだんがん	弾弾丸
だんだんはんまーくずし	弾弾ハンマー崩し
だーくどらごん	暗黒竜
ちあき	千秋
ちいみやえき	知井宮駅
ちぇいさー	追跡者
ちぇいん	縛鎖
ちぇうに	チェウニ
ちぇこきょうわこく	チェコ共和国
ちぇぼたれふのみつどていり	チェボタレフの密度定理
ちぇりこうきたくぶ	チェリ高帰宅部
ちえ	千恵
ちえ	智恵
ちえんきおくそうち	遅延記憶装置
ちおも	乳母
ちか	千果
ちか	近
ちかこ	俔子
ちかつあすかのみや	近飛鳥宮
ちかづ	近
ちかのり	近似
ちから	力
ちかんもじ	置換文字
ちきう	地球
ちきうじやう	地球上
ちきゅうかんそくえいせい	地球観測衛星
ちきゅうがいせいぶつ	地球外生物
ちきゅうがいせいめいたい	地球外生命体
ちきゅうたいきちゅうのにさんかたんそ	地球大気中の二酸化炭素
ちきゅうのたいき	地球の大気
ちきょうだい	乳兄弟
ちぎょう	恥行
ちくうじん	地空人
ちくごむびゅうせつ	逐語無謬説
ちくごやく	逐語訳
ちくし	遅来矢
ちくしぐちどおり	筑紫口通り
ちくしどおり	筑紫通り
ちくしょう	畜生
ちくそ	血屎
ちくばやま	筑波山
ちくぶ	竹部
ちくまがわ	千曲川
ちくわん	遲緩
ちぐるまとう	血狂魔党
ちぐるままじんさい	血車魔神斎
ちけい	智敬
ちけむりはくしゃくぶらっでぃ	血煙伯爵ブラッディ
ちこう	治功
ちご	稚
ちごづか	稚児塚
ちさつすう	地煞数
ちさつせい	地煞星
ちさつせいしちじゅうにせい	地煞星七十二星
ちさと	知里
ちしつ	知悉
ちしまれっとう	千島列島
ちしゃ	智者
ちしゅきふ	螭首亀趺
ちしょう	池沼
ちしょうかく	智正覚世間
ちすいじんじゃ	治水神社
ちせい	地勢
ちせん	薙染
ちたせい	智多星
ちだつ	褫奪
ちだぼくいっぽう	治打撲一方
ちちがしらくろみ	乳頭黒美
ちっきょ	蟄居
ちっこうほんまち	築港本町
ちつ	些
ちつ	小
ちつきよ	蟄居
ちていざめ	地底鮫
ちていじゅう	地帝獣
ちとく	智徳
ちなみ	因
ちぬおう	智努王
ちのりもこう	チノリモ綱
ちはや	千早
ちはる	千春
ちひつどう	遅筆堂
ちひろ	千翼
ちびのけのおとおさん	地尾野家のおとおさん
ちぶ	豸部
ちぶ	黹部
ちべつと	西藏
ちほうけいば	地方競馬
ちほうこうきょうだんたい	地方公共団体
ちほうじちたい	地方自治体
ちほうせいふ	地方政府
ちまつりどうこく	血祭ドウコク
ちまつりのぶれどらん	血祭のブレドラン
ちみつ	緻密
ちみつこつ	緻密骨
ちめい	地名
ちゃうぐん	チャウ群
ちゃくさい	嫡妻
ちゃくぶ	辵部
ちゃたておんな	茶立女
ちゃたろう	茶太郎
ちゃだ	チャダ
ちゃっか	着化
ちゃどう	茶道
ちゃみせ	茶店
ちゃやま	茶山
ちゃわんちゃうす	茶碗茶碓
ちゃん	喜屋武
ちゃんぷ	王
ちゃんぺいさん	長白山
ちやわんちやうす	茶碗茶臼
ちゅ	美
ちゅう	中
ちゅう	註
ちゅうおうちこうたい	中央地溝帯
ちゅうかんげんご	中間言語
ちゅうごくらおすてつどう	中国ラオス鉄道
ちゅうさつ	誅殺
ちゅうしょうきかい	抽象機械
ちゅうしん	中神
ちゅうじょ	駐鋤
ちゅうせいし	中性子
ちゅうせいしかじょうすう	中性子過剰数
ちゅうせいしばくだん	中性子爆弾
ちゅうぞうぎのうし	鋳造技能士
ちゅうたいき	駐退機
ちゅうだんげんすい	中壇元帥
ちゅうちゅうざん	宙宙斬
ちゅうちゅうしんし	虫中心市
ちゅうちょ	躊躇
ちゅうとうし	中闘士
ちゅうはたい	中波帯
ちゅうび	籌備
ちゅうぶてんりゅうえき	中部天竜駅
ちゅうぶほうげん	中部方言
ちゅうぼそけい	中細罫
